id,normalizada,original,solo_frente_espalda,sin_logo,sin_marco,sin_cabecera_pie,sin_cortes,sin_deformacion,lienzo_ok,clasificacion,observacion
AIM-P175-037.jpg,images_normalized\AIM-P175-037.jpg,images_final\AIM-P175-037.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P031-025.jpg,images_normalized\AIM-P031-025.jpg,images_final\AIM-P031-025.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P007-050.jpg,images_normalized\AIM-P007-050.jpg,images_final\AIM-P007-050.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P203-030.jpg,images_normalized\AIM-P203-030.jpg,images_final\AIM-P203-030.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P076-007.jpg,images_normalized\AIM-P076-007.jpg,images_final\AIM-P076-007.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P067-053.jpg,images_normalized\AIM-P067-053.jpg,images_final\AIM-P067-053.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P061-058.jpg,images_normalized\AIM-P061-058.jpg,images_final\AIM-P061-058.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P039-007.jpg,images_normalized\AIM-P039-007.jpg,images_final\AIM-P039-007.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P202-007.jpg,images_normalized\AIM-P202-007.jpg,images_final\AIM-P202-007.jpg,si,si,si,si,si,si,si,dudosa,pipeline: dudoso
AIM-P028-060.jpg,images_normalized\AIM-P028-060.jpg,images_final\AIM-P028-060.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P185-048.jpg,images_normalized\AIM-P185-048.jpg,images_final\AIM-P185-048.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
AIM-P203-016.jpg,images_normalized\AIM-P203-016.jpg,images_final\AIM-P203-016.jpg,si,si,si,si,si,si,si,correcta,camiseta conservada correctamente
